opd,intensity,lat,lon
AB10,0,57.1349,-2.11738
AB11,0,57.1371,-2.09346
AB12,0,57.1034,-2.1098
AB13,0,57.1124,-2.24337
AB14,0,57.1034,-2.2727
AB15,0,57.1386,-2.16699
AB16,0,57.1596,-2.15653
AB21,0,57.2081,-2.2007
AB22,0,57.1865,-2.11967
AB23,0,57.2083,-2.08982
AB34,0,57.0927,-2.80993
AB25,0,57.1535,-2.11424
AB30,0,56.8457,-2.47711
AB31,0,57.0669,-2.50483
AB32,0,57.1545,-2.31487
AB33,0,57.226,-2.73698
AB34,0,57.0927,-2.80993
AB35,0,57.039,-3.14433
AB37,0,57.3308,-3.35294
AB38,0,57.4854,-3.22714
AB39,0,56.978,-2.21703
AB41,0,57.3718,-2.11687
AB42,0,57.5016,-1.88818
AB43,0,57.6578,-2.04487
AB44,0,57.6682,-2.49318
AB45,0,57.6521,-2.567
AB51,0,57.2879,-2.40476
AB52,0,57.3421,-2.60258
AB53,0,57.5344,-2.40719
AB54,0,57.4657,-2.75604
AB55,0,57.5324,-2.97563
AB56,0,57.6735,-2.91919
AL1,39,51.7487,-0.319472
AL2,39,51.7223,-0.331038
AL3,39,51.7754,-0.366601
AL4,39,51.7713,-0.295994
AL5,39,51.8146,-0.35151
AL6,39,51.8299,-0.199444
AL7,39,51.7986,-0.189303
AL8,39,51.8034,-0.210326
AL9,39,51.7469,-0.201694
AL10,39,51.7609,-0.231256
B1,48,52.4796,-1.90779
B2,48,52.4863,-1.89732
B3,48,52.4823,-1.90289
B4,48,52.4838,-1.89374
B5,48,52.4722,-1.89683
B6,48,52.5025,-1.88685
B7,48,52.4938,-1.87438
B8,48,52.49,-1.84277
B9,48,52.4781,-1.85284
B10,48,52.4701,-1.85328
B11,48,52.4554,-1.85984
B12,48,52.4609,-1.88253
B13,48,52.4351,-1.8826
B14,48,52.4188,-1.89026
B15,48,52.468,-1.92348
B16,48,52.4754,-1.9323
B17,48,52.4615,-1.96293
B18,48,52.4915,-1.92254
B19,48,52.4963,-1.90616
B20,48,52.5134,-1.91885
B21,48,52.5051,-1.93634
B23,48,52.5276,-1.85172
B24,48,52.5196,-1.82891
B25,48,52.4616,-1.826
B26,48,52.4607,-1.79288
B27,48,52.4458,-1.82377
B28,48,52.4278,-1.84318
B29,48,52.4377,-1.94563
B30,48,52.4212,-1.9281
B31,48,52.4092,-1.97309
B32,48,52.4509,-1.99449
B33,48,52.4807,-1.78795
B34,48,52.4957,-1.78168
B35,48,52.5173,-1.78998
B36,48,52.5045,-1.77998
B37,48,52.4784,-1.74181
B38,48,52.401,-1.93401
B40,48,52.4587,-1.72503
B42,48,52.5347,-1.90468
B43,48,52.5476,-1.92824
B44,48,52.545,-1.88565
B45,48,52.3885,-2.00843
B46,48,52.5071,-1.69761
B47,48,52.3887,-1.88118
B48,48,52.3568,-1.95165
B49,48,52.2173,-1.86743
B50,48,52.1696,-1.85662
B60,48,52.3236,-2.05
B61,48,52.3441,-2.06747
B62,48,52.4599,-2.03721
B63,48,52.4531,-2.06737
B64,48,52.4724,-2.06909
B65,48,52.4828,-2.04345
B66,48,52.4936,-1.96587
B67,48,52.4877,-1.97729
B68,48,52.4801,-2.00183
B69,48,52.5028,-2.02546
B70,48,52.5198,-2.00267
B71,48,52.5348,-1.9901
B72,48,52.5545,-1.82364
B73,48,52.5593,-1.83767
B74,48,52.5823,-1.85727
B75,48,52.5778,-1.81122
B76,48,52.5447,-1.7899
B77,188,52.6203,-1.67172
B78,188,52.6066,-1.6751
B79,188,52.6481,-1.68231
B80,48,52.279,-1.89717
B90,48,52.4012,-1.82608
B91,48,52.414,-1.7807
B92,48,52.4353,-1.77432
B93,48,52.3831,-1.74212
B94,48,52.353,-1.79094
B95,188,52.2871,-1.78055
B96,48,52.2549,-1.95955
B97,48,52.3033,-1.94973
B98,48,52.3037,-1.91601
BA1,180,51.3888,-2.36019
BA2,180,51.362,-2.37621
BA3,180,51.2856,-2.4493
BA4,180,51.1746,-2.5333
BA5,180,51.2116,-2.65485
BA6,180,51.1431,-2.70941
BA7,180,51.0894,-2.51854
BA8,160,51,-2.41073
BA9,160,51.0577,-2.41015
BA10,160,51.1123,-2.44728
BA11,160,51.2376,-2.32633
BA12,160,51.1743,-2.18742
BA13,160,51.263,-2.18487
BA14,160,51.319,-2.20283
BA15,180,51.3484,-2.26218
BA16,180,51.1265,-2.74323
BA20,160,50.939,-2.64274
BA21,160,50.9511,-2.63381
BA22,160,50.9686,-2.63721
BB1,13,53.7552,-2.46573
BB2,13,53.7418,-2.498
BB3,13,53.6978,-2.46624
BB4,13,53.7034,-2.29113
BB5,13,53.7545,-2.37229
BB6,13,53.8039,-2.4156
BB7,13,53.8718,-2.3891
BB8,163,53.8792,-2.16807
BB9,13,53.837,-2.21583
BB10,13,53.7994,-2.22166
BB11,13,53.7848,-2.25077
BB12,13,53.802,-2.28895
BB18,163,53.915,-2.17253
BD1,163,53.7973,-1.75431
BD2,163,53.8141,-1.73627
BD3,163,53.7979,-1.72996
BD4,163,53.7768,-1.72164
BD5,163,53.7793,-1.75835
BD6,163,53.7649,-1.78478
BD7,163,53.7842,-1.78099
BD8,163,53.8014,-1.78063
BD9,163,53.8115,-1.78812
BD10,163,53.8309,-1.72621
BD11,163,53.7499,-1.67918
BD12,163,53.7479,-1.76243
BD13,163,53.7876,-1.85603
BD14,163,53.7833,-1.81749
BD15,163,53.808,-1.83513
BD16,163,53.8475,-1.83221
BD17,163,53.845,-1.76907
BD18,163,53.8302,-1.77648
BD19,163,53.7266,-1.71437
BD20,163,53.8958,-1.94663
BD21,163,53.8646,-1.90836
BD22,163,53.8469,-1.95236
BD23,163,53.9887,-2.05228
BD24,163,54.0772,-2.28157
BH1,160,50.7253,-1.86308
BH2,160,50.7219,-1.88129
BH3,160,50.7355,-1.88024
BH4,160,50.7217,-1.90053
BH5,160,50.7258,-1.83707
BH6,160,50.7277,-1.80919
BH7,160,50.7346,-1.83415
BH8,160,50.7398,-1.85395
BH9,160,50.7498,-1.87482
BH10,160,50.7591,-1.89326
BH11,160,50.7609,-1.92014
BH12,160,50.738,-1.92484
BH13,160,50.7104,-1.91831
BH14,160,50.7223,-1.94554
BH15,160,50.7208,-1.9849
BH16,160,50.7382,-2.04431
BH17,160,50.7458,-1.97326
BH18,160,50.7571,-1.99153
BH19,160,50.6114,-1.97
BH20,160,50.6875,-2.14463
BH21,160,50.8182,-1.96456
BH22,160,50.8061,-1.88912
BH23,160,50.7454,-1.75856
BH24,160,50.846,-1.7878
BH25,160,50.7523,-1.65862
BH31,160,50.8749,-1.86922
BL0,13,53.6434,-2.3162
BL1,13,53.5889,-2.44065
BL2,13,53.5877,-2.39785
BL3,13,53.5662,-2.43197
BL4,13,53.5474,-2.4035
BL5,13,53.5517,-2.51712
BL6,13,53.5911,-2.54015
BL7,13,53.6282,-2.42304
BL8,13,53.6019,-2.32361
BL9,13,53.592,-2.28886
BN1,93,50.8372,-0.140105
BN2,93,50.8245,-0.107978
BN3,93,50.8345,-0.175377
BN5,93,50.9243,-0.268091
BN5,93,50.9243,-0.268091
BN7,93,50.8783,0.00293579
BN8,93,50.9124,0.0506446
BN9,93,50.7953,0.0268781
BN10,93,50.7956,0.00188659
BN11,93,50.8137,-0.375466
BN12,93,50.8142,-0.426895
BN13,93,50.8304,-0.406437
BN14,93,50.8308,-0.379929
BN15,93,50.83,-0.325111
BN16,93,50.8155,-0.498054
BN17,93,50.8153,-0.537171
BN18,160,50.8486,-0.578431
BN20,93,50.774,0.25486
BN21,93,50.7721,0.274644
BN22,93,50.7879,0.283456
BN23,93,50.7985,0.312721
BN24,93,50.8156,0.325525
BN25,93,50.7759,0.10728
BN26,93,50.8215,0.225111
BN27,93,50.8708,0.262824
BN41,93,50.8391,-0.21531
BN42,93,50.8367,-0.232048
BN43,93,50.8354,-0.268231
BN44,93,50.8927,-0.318648
BN45,93,50.8884,-0.183222
BR1,66,51.4107,0.0194289
BR2,66,51.3904,0.0216416
BR3,66,51.4034,-0.0317743
BR4,93,51.3756,-0.00989192
BR5,93,51.3892,0.102525
BR6,93,51.3674,0.0925366
BR7,66,51.4118,0.0591587
BR8,93,51.3976,0.174818
BS0,180,51.3439,-2.95702
BS1,180,51.4539,-2.59204
BS2,180,51.459,-2.58113
BS3,180,51.4386,-2.60345
BS4,180,51.4362,-2.56398
BS5,180,51.4622,-2.55284
BS6,180,51.4702,-2.59837
BS7,180,51.4867,-2.5816
BS8,180,51.4575,-2.61943
BS9,180,51.4883,-2.62535
BS10,180,51.5056,-2.61173
BS11,180,51.4987,-2.67846
BS13,180,51.4121,-2.61181
BS14,180,51.4131,-2.56317
BS15,48,51.4548,-2.49618
BS16,180,51.4856,-2.51256
BS20,180,51.4806,-2.75702
BS21,180,51.4362,-2.85138
BS22,180,51.3606,-2.92825
BS23,180,51.3435,-2.96948
BS24,180,51.3313,-2.92489
BS25,180,51.3208,-2.82671
BS26,180,51.2805,-2.85054
BS27,180,51.2724,-2.77233
BS28,180,51.2273,-2.81535
BS29,180,51.3302,-2.87357
BS30,48,51.4464,-2.47544
BS31,180,51.4096,-2.49346
BS32,180,51.5415,-2.5611
BS34,180,51.5253,-2.5678
BS35,48,51.5974,-2.54808
BS36,48,51.5262,-2.48788
BS37,48,51.5402,-2.41833
BS39,180,51.3281,-2.5329
BS40,180,51.3469,-2.6937
BS41,180,51.4235,-2.65441
BS48,180,51.4265,-2.74967
BS49,180,51.3825,-2.81611
CA1,13,54.8871,-2.9183
CA2,13,54.8848,-2.95066
CA3,13,54.9059,-2.93997
CA4,13,54.8568,-2.82098
CA5,13,54.8209,-3.21068
CA6,13,54.9869,-2.86862
CA7,13,54.8086,-3.23521
CA8,13,54.9397,-2.68813
CA9,11,54.8013,-2.4173
CA10,13,54.6141,-2.66247
CA11,13,54.6648,-2.78218
CA12,13,54.6023,-3.13425
CA13,13,54.6604,-3.36798
CA14,13,54.6352,-3.53957
CA15,13,54.7118,-3.48198
CA16,13,54.5739,-2.48497
CA17,13,54.4799,-2.35046
CA18,13,54.3546,-3.39042
CA19,13,54.387,-3.38613
CA20,13,54.4099,-3.46351
CA21,13,54.4453,-3.51654
CA22,13,54.4804,-3.53227
CA23,13,54.5142,-3.49348
CA24,13,54.5147,-3.54318
CA25,13,54.5221,-3.51961
CA26,13,54.5445,-3.48521
CA27,13,54.4909,-3.59294
CA28,13,54.5436,-3.57964
CB1,39,52.1858,0.167315
CB2,39,52.1719,0.129569
CB3,39,52.2141,0.0335664
CB4,39,52.2437,0.117627
CB5,39,52.2337,0.199545
CB6,39,52.4034,0.224604
CB7,39,52.3697,0.312195
CB8,39,52.233,0.420979
CB9,39,52.083,0.439942
CB10,39,52.0293,0.258073
CB11,39,52.0019,0.213921
CB21,39,52.1305,0.279402
CB22,39,52.1333,0.135964
CB23,39,52.2168,-0.0227946
CB24,39,52.2755,0.0841643
CB25,39,52.2569,0.245945
CF3,197,51.518,-3.11863
CF5,197,51.4829,-3.24158
CF10,197,51.4736,-3.17728
CF11,197,51.4707,-3.19264
CF14,197,51.5202,-3.20243
CF15,197,51.5339,-3.27104
CF23,197,51.5136,-3.14513
CF24,197,51.4848,-3.1664
CF31,197,51.5077,-3.57544
CF32,197,51.5577,-3.58281
CF33,197,51.5245,-3.68718
CF34,197,51.6108,-3.65265
CF35,197,51.5213,-3.52764
CF36,197,51.4839,-3.69981
CF37,197,51.6015,-3.33426
CF38,197,51.5609,-3.33349
CF39,197,51.6017,-3.42659
CF40,197,51.6205,-3.45274
CF41,197,51.6478,-3.48274
CF42,197,51.6666,-3.52193
CF43,197,51.657,-3.44978
CF44,197,51.7173,-3.4572
CF45,197,51.6701,-3.36283
CF46,197,51.6639,-3.30147
CF47,197,51.7507,-3.37545
CF48,197,51.7426,-3.37059
CF61,197,51.4094,-3.48095
CF62,197,51.4042,-3.3092
CF63,197,51.4106,-3.26032
CF72,197,51.5299,-3.39968
CF81,197,51.6997,-3.24385
CF82,197,51.6493,-3.23711
CF83,197,51.5855,-3.22058
CH1,34,53.1994,-2.90011
CH2,34,53.2156,-2.87071
CH3,34,53.1679,-2.82568
CH4,34,53.1695,-2.93832
CH5,34,53.2048,-3.0389
CH8,34,53.2822,-3.24157
CH41,34,53.3947,-3.03076
CH42,34,53.3752,-3.02205
CH43,34,53.3829,-3.06014
CH44,34,53.4156,-3.0373
CH45,34,53.4283,-3.05078
CH46,34,53.4038,-3.11094
CH47,34,53.3958,-3.17021
CH48,34,53.3726,-3.17085
CH49,34,53.381,-3.10335
CH60,34,53.3269,-3.09643
CH61,34,53.3474,-3.10179
CH62,34,53.3359,-2.98219
CH63,34,53.3458,-3.01141
CH64,34,53.2884,-3.04927
CH64,34,53.2884,-3.04927
CH65,34,53.2782,-2.90247
CH66,34,53.278,-2.93564
CM0,39,51.6594,0.832094
CM1,39,51.7454,0.466008
CM2,39,51.7237,0.48497
CM3,39,51.7159,0.586586
CM4,39,51.6749,0.388422
CM5,39,51.7183,0.247778
CM7,39,51.886,0.54783
CM8,39,51.805,0.638607
CM9,39,51.7394,0.695719
CM11,39,51.624,0.442856
CM12,39,51.6268,0.414888
CM13,39,51.6153,0.334626
CM14,39,51.6189,0.295538
CM15,39,51.6413,0.304196
CM16,39,51.7002,0.118702
CM17,39,51.7728,0.140946
CM18,39,51.7567,0.104674
CM19,39,51.7614,0.07431
CM20,39,51.7745,0.100421
CM22,39,51.8652,0.217196
CM23,39,51.871,0.158895
CM24,39,51.8977,0.20653
CM77,39,51.8675,0.552822
CO1,39,51.8802,0.888641
CO2,39,51.871,0.895387
CO3,39,51.8853,0.858199
CO4,39,51.9068,0.920662
CO5,39,51.8141,0.822364
CO6,39,51.9328,0.79338
CO7,39,51.8805,1.00305
CO8,39,51.9734,0.766757
CO9,39,51.9678,0.610869
CO10,39,52.054,0.726761
CO11,39,51.9424,1.07516
CO12,39,51.9323,1.25581
CO13,39,51.8382,1.23785
CO14,39,51.8503,1.26754
CO15,39,51.7967,1.15521
CO16,39,51.8196,1.12571
CR2,93,51.3453,-0.0954831
CR3,93,51.2977,-0.096709
CR4,66,51.4025,-0.144915
CR5,93,51.3134,-0.141388
CR6,93,51.3029,-0.0574917
CR7,93,51.3926,-0.103572
CR8,93,51.3364,-0.110998
CT1,93,51.2788,1.08661
CT2,93,51.2922,1.08163
CT3,93,51.2769,1.20731
CT4,93,51.2281,1.06789
CT5,93,51.3543,1.03453
CT6,93,51.3642,1.1285
CT7,93,51.3717,1.30241
CT8,93,51.3806,1.34057
CT10,93,51.3629,1.42916
CT11,93,51.3365,1.4124
CT12,93,51.3431,1.37047
CT13,93,51.2686,1.33038
CT14,93,51.2174,1.38699
CT15,93,51.1713,1.28348
CT16,93,51.1394,1.3014
CT17,93,51.1287,1.29529
CT18,93,51.1126,1.15046
CT19,93,51.0884,1.16846
CT20,93,51.0796,1.16528
CT21,93,51.0731,1.07799
CV1,188,52.409,-1.50751
CV2,188,52.4234,-1.46768
CV3,188,52.3938,-1.48272
CV4,188,52.3996,-1.55566
CV5,188,52.4119,-1.54833
CV6,188,52.431,-1.50712
CV7,188,52.4424,-1.5591
CV9,188,52.5844,-1.55904
CV10,188,52.5256,-1.49917
CV11,188,52.5203,-1.45684
CV12,188,52.477,-1.47372
CV13,188,52.6081,-1.41777
CV21,188,52.3708,-1.2714
CV22,188,52.3579,-1.2832
CV23,188,52.3502,-1.30132
CV31,188,52.28,-1.52709
CV32,188,52.2957,-1.53189
CV33,188,52.2384,-1.44384
CV34,188,52.2844,-1.58475
CV35,188,52.2319,-1.59524
CV36,48,52.071,-1.62981
CV37,48,52.1871,-1.71502
CV47,188,52.2367,-1.38679
CW1,34,53.0998,-2.43064
CW2,34,53.0813,-2.4458
CW3,34,53.0035,-2.41094
CW4,34,53.2041,-2.34046
CW5,34,53.0634,-2.52194
CW6,34,53.1616,-2.66733
CW7,34,53.1907,-2.52753
CW8,34,53.2542,-2.55958
CW9,34,53.2596,-2.504
CW10,34,53.189,-2.44898
CW11,34,53.1432,-2.36511
CW12,48,53.1664,-2.21604
DA2,93,51.4332,0.2319
DA3,93,51.3859,0.306404
DA4,93,51.3928,0.230816
DA5,66,51.441,0.147447
DA6,66,51.4561,0.13893
DA8,66,51.4761,0.179863
DA9,93,51.4482,0.280647
DA10,93,51.4429,0.300921
DA11,93,51.4354,0.351724
DA12,93,51.4307,0.384032
DA13,93,51.3861,0.354268
DA14,66,51.4259,0.110447
DA15,66,51.4398,0.0989521
DA16,66,51.4645,0.109009
DA17,66,51.4866,0.150627
DD1,0,56.4618,-2.97734
DD2,0,56.4711,-3.02794
DD3,0,56.482,-2.98933
DD4,0,56.4819,-2.93561
DD5,0,56.4795,-2.86329
DD6,1,56.437,-2.92707
DD7,0,56.5028,-2.7195
DD8,0,56.6557,-2.92195
DD9,0,56.7475,-2.66678
DD10,0,56.7453,-2.4309
DD11,0,56.5724,-2.59776
DE1,188,52.9189,-1.47264
DE3,188,52.9154,-1.50867
DE4,188,53.1437,-1.58537
DE5,188,53.0567,-1.4258
DE6,188,52.9631,-1.66799
DE7,188,52.9401,-1.34298
DE11,188,52.773,-1.55687
DE12,188,52.7274,-1.55388
DE13,188,52.8078,-1.688
DE14,188,52.8071,-1.63895
DE15,188,52.7994,-1.61041
DE21,188,52.9325,-1.43523
DE22,188,52.933,-1.4976
DE23,188,52.8994,-1.49987
DE24,188,52.8904,-1.45346
DE45,188,53.2143,-1.67736
DE55,188,53.0996,-1.37194
DE56,188,53.0212,-1.47701
DE65,188,52.8665,-1.6207
DE72,188,52.894,-1.36693
DE73,188,52.8494,-1.43852
DE74,188,52.8478,-1.34046
DE75,188,53.0121,-1.3533
DG1,1,55.0732,-3.58559
DG2,1,55.0653,-3.65662
DG3,1,55.2369,-3.79904
DG4,1,55.3753,-3.95508
DG5,1,54.9214,-3.81291
DG6,1,54.8372,-4.05551
DG7,1,54.9662,-4.00875
DG8,1,54.8745,-4.51404
DG9,1,54.8786,-5.02285
DG10,1,55.3211,-3.43917
DG11,1,55.1147,-3.34088
DG12,1,54.9898,-3.2516
DG13,1,55.1744,-3.03246
DG14,1,55.0801,-2.98764
DG16,1,54.997,-3.06844
DH1,11,54.7826,-1.56254
DH2,11,54.8599,-1.59829
DH3,11,54.8701,-1.56933
DH4,11,54.8529,-1.49026
DH5,11,54.8246,-1.45589
DH6,11,54.7535,-1.46515
DH7,11,54.7895,-1.66159
DH8,11,54.8533,-1.83292
DH9,11,54.8678,-1.71096
DL1,11,54.528,-1.54132
DL2,11,54.5274,-1.59131
DL3,11,54.5312,-1.56906
DL4,11,54.6308,-1.64565
DL5,11,54.6162,-1.57701
DL6,11,54.3679,-1.39416
DL7,11,54.337,-1.47919
DL8,11,54.2947,-1.7849
DL9,11,54.376,-1.71085
DL10,11,54.4131,-1.69976
DL11,11,54.439,-1.87133
DL12,11,54.5703,-1.98142
DL13,11,54.7168,-1.95195
DL14,11,54.6534,-1.6902
DL15,11,54.7096,-1.72915
DL17,11,54.6811,-1.54313
DN1,163,53.5209,-1.11845
DN2,163,53.5327,-1.10419
DN3,163,53.5437,-1.06472
DN4,163,53.506,-1.12209
DN5,163,53.5367,-1.17119
DN6,163,53.5948,-1.17711
